,features,corr,k_best,lasso,rf-importance,dt-importance,corr_rank,k_best_rank,lasso_rank,rf-importance_rank,dt-importance_rank,voting
0,e.96,0.508462912165843,2489.5878323522093,0.0,0.09984689855778245,0.0045098339707632835,1,1,0,1,1,4
1,b.22,0.39715797402760983,556.230794812107,0.0,0.10132883669159715,0.18407362088492735,1,1,0,1,1,4
2,e.95,0.48609407956889233,2190.9868382875707,0.0,0.06322084802716096,0.002954851007177871,1,1,0,1,1,4
3,b.191,0.40367443544749365,2058.4281801594666,0.0,0.04604653089939025,0.03561842320044424,1,1,0,1,1,4
4,var7,0.3284092710698017,1827.9317278714216,0.0,0.1248983001121136,0.5395781056930321,1,1,0,1,1,4
5,e.98,0.4225672310832068,1302.210480822046,0.0,0.033270689395448215,0.0026361692393551475,1,1,0,1,0,3
6,e.99,0.46573182298529753,1682.9667358977913,0.0,0.03786398477353384,0.002686529432927004,1,1,0,1,0,3
7,c.69,0.19766074353978305,895.1308678334657,0.0,0.010869053874580465,,1,1,0,1,0,3
8,e.100,0.4821910453943289,1836.4042136507057,0.0,0.03062676971387728,0.0008694259906309547,1,1,0,1,0,3
9,b.5,0.19384624294044173,204.16211725038713,0.0,0.005374217586978109,0.010925881084546485,1,1,0,0,1,3
10,c.255,0.22680426643267732,741.5790304119595,0.0,0.005312348254673804,0.012861341292103957,1,1,0,0,1,3
11,var3,0.0552286197541831,13.103826879276767,1.1074920066870967e-09,0.00985602595886402,0.007540622237033339,0,0,1,1,1,3
12,b.192,0.336450600755327,1125.826560816497,0.0,0.02882455137925808,0.0010552501724582777,1,1,0,1,0,3
13,e.97,0.48536469344645955,1982.4770829386828,0.0,0.0388025827603771,0.002483929564002704,1,1,0,1,0,3
14,f.104,0.05924143708810659,284.0033762765907,0.0,0.020682614137233147,0.005363134567469241,0,1,0,1,1,3
15,f.102,0.12766262920464236,189.87384992907886,0.0,0.005321899024336957,0.004893042917713772,0,1,0,0,1,2
16,a.2,0.05049787829582584,73.3038796545028,0.0,0.009373109139870897,0.006425621138159572,0,0,0,1,1,2
17,c.159,0.1818298966387104,179.3232097879815,0.0,,,1,1,0,0,0,2
18,t7.173,0.1818298966387104,179.3232097879815,0.0,,0.000861410006320173,1,1,0,0,0,2
19,b.193,0.19721381264302806,353.9651113426608,0.0,0.007748529859477561,0.0002851538938655309,1,1,0,0,0,2
