,features,corr,lasso,k_best,rf-importance,rfecv,corr_rank,lasso_rank,k_best_rank,rf-importance_rank,rfecv_rank,voting
0,b.22,0.39715797402760983,0.005682259160014914,556.230794812107,0.08267142786448561,0.20159226106967842,1,1,1,1,1,5
1,e.96,0.508462912165843,0.08796804089747783,2489.5878323522093,0.041385752113712745,,1,1,1,1,0,4
2,e.100,0.4821910453943289,0.04488367876467607,1836.4042136507057,0.03494521584499729,,1,1,1,1,0,4
3,e.97,0.48536469344645955,0.03716431864687026,1982.4770829386828,0.05339458748273701,,1,1,1,1,0,4
4,c.48,0.1791604613490592,0.0,290.81518064622657,0.028781918996764546,0.015384344664310337,1,0,1,1,1,4
5,c.69,0.19766074353978305,0.0008743095341826245,895.1308678334657,0.008613874699593136,,1,1,1,1,0,4
6,e.99,0.46573182298529753,0.01788108390680917,1682.9667358977913,0.04034862183963784,,1,1,1,1,0,4
7,b.191,0.40367443544749365,0.0,2058.4281801594666,0.04351650637683531,0.03716904370304356,1,0,1,1,1,4
8,var7,0.3284092710698017,0.0,1827.9317278714216,0.09686065512891426,0.5465229639807109,1,0,1,1,1,4
9,b.192,0.336450600755327,0.0,1125.826560816497,0.023321478228488485,,1,0,1,1,0,3
10,c.231,0.26142403240149853,0.0,318.49978309785917,0.006397316796638895,,1,0,1,1,0,3
11,b.193,0.19721381264302806,0.0,353.9651113426608,0.009685504993551156,,1,0,1,1,0,3
12,a.186,0.0568711265610052,0.0001743153902589359,9.241804185073871,0.0066254075011266044,0.014934476764019662,0,1,0,1,1,3
13,c.246,0.32330806191508793,0.0,533.4971173457639,0.008571462646318397,,1,0,1,1,0,3
14,e.95,0.48609407956889233,0.0,2190.9868382875707,0.05288724585591758,,1,0,1,1,0,3
15,f.104,0.05924143708810659,0.0,284.0033762765907,0.01911081401249128,0.019837197445586364,0,0,1,1,1,3
16,c.47,0.04098842202234102,0.00015740984552751355,20.880081248053504,0.01010403533579414,0.0237179508045858,0,1,0,1,1,3
17,e.98,0.4225672310832068,0.0,1302.210480822046,0.035812730881719476,,1,0,1,1,0,3
18,c.255,0.22680426643267732,0.0,741.5790304119595,0.0030918804099238657,0.01248569804627077,1,0,1,0,1,3
19,c.245,0.20546789160147347,0.0,191.70212973690204,0.0015608562638628348,,1,0,1,0,0,2
20,a.124,0.012636881389729212,0.0,3.2009443273990827,0.006510319805545349,0.01919875161049931,0,0,0,1,1,2
21,c.159,0.1818298966387104,0.0,179.3232097879815,0.00232275714914846,,1,0,1,0,0,2
22,c.58,0.013961217677288978,0.00021030894196810408,6.474705425029944,0.006049026604404801,0.019700428134004504,0,1,0,0,1,2
23,c.76,0.1264456134054899,0.00011293166148352049,368.8685738839031,0.01239346751077629,,0,0,1,1,0,2
24,c.75,0.1229959080157242,0.0,362.54447986888636,0.013553958355141527,,0,0,1,1,0,2
25,c.259,0.16075743866443845,0.0,610.2386627454975,0.001751064602351992,,1,0,1,0,0,2
26,c.73,0.1108647927965563,0.0005294135446516933,244.05304793067472,0.0010916527305094477,,0,1,1,0,0,2
27,var3,0.0552286197541831,8.407645759356256e-10,13.103826879276767,0.0066858265536973585,0.018139418747286,0,0,0,1,1,2
28,c.66,0.06017104328359773,0.00018674672142638467,66.21524846458611,0.009748144927023653,,0,1,0,1,0,2
29,c.236,0.2722813946695126,0.0,356.197533699099,0.00556502167152254,,1,0,1,0,0,2
30,c.234,0.2073819406658746,0.0,199.0805839973628,0.0032584044709360847,,1,0,1,0,0,2
31,b.5,0.19384624294044173,0.0,204.16211725038713,0.004541169052697378,,1,0,1,0,0,2
32,t7.173,0.1818298966387104,0.0,179.3232097879815,0.0015948168476177644,,1,0,1,0,0,2
33,b.23,0.007442822568113734,0.0006162319606013112,0.725275065705729,0.007051542889465927,,0,1,0,1,0,2
34,a.2,0.05049787829582584,0.0,73.3038796545028,0.007100559968419285,0.016498658102090186,0,0,0,1,1,2
35,c.235,0.19831772257628927,0.0,165.35134455220995,0.0014959413146351018,,1,0,1,0,0,2
36,b.16,0.027405871568050102,0.0024999507469025926,50.496861887460646,0.006382943716123332,0.021126462154577676,0,1,0,0,1,2
37,c.83,0.03426577153680819,0.0010453825304951776,14.337059874531283,0.0020724286477869745,,0,1,0,0,0,1
38,c.70,0.07926997962872988,0.0001551368074960864,154.0645546799488,0.0005924696624935505,,0,1,0,0,0,1
39,c.189,0.06430499614436223,0.0,43.72185624428319,0.006422964044133331,,0,0,0,1,0,1
40,t7.178,0.17558385075308647,0.0,119.18484897186144,0.000705798684027655,,1,0,0,0,0,1
41,var0,0.06363271795244548,0.0,49.501612496532076,0.009036971100177415,,0,0,0,1,0,1
42,c.77,0.08341724640656141,1.271049379707991e-05,43.658105086357565,0.004253607178970764,0.01753368578275642,0,0,0,0,1,1
43,c.81,0.01645142692441298,0.00019907019605295442,75.46378132996519,0.001530590723349715,,0,1,0,0,0,1
44,b.194,0.11980954973643851,0.0,96.72352779497076,0.0069950730739776965,,0,0,0,1,0,1
45,c.165,0.17558385075308647,0.0,119.18484897186144,0.0007343883782406465,,1,0,0,0,0,1
46,c.84,0.13426862495730552,0.0003974327918106705,65.87462794694504,0.0013103301221011165,,0,1,0,0,0,1
47,c.203,0.07971465770327436,0.0,164.363227932944,0.00032068238738814004,,0,0,1,0,0,1
48,t7.157,0.04945894945852054,0.00031960802076196044,22.48926578299276,0.0014045122585593154,,0,1,0,0,0,1
49,t7.152,0.020653210604958172,0.00018683528233276773,11.13989432948167,0.0015415196644632115,,0,1,0,0,0,1
50,c.146,0.04659207180425493,0.00024563871823866826,21.375470755588207,0.0012955448070914775,,0,1,0,0,0,1
51,c.142,0.040804462836202565,0.0001901678873761646,17.530375938255112,0.0007398049466600557,,0,1,0,0,0,1
52,c.140,0.03571858391529313,0.002066759365405802,3.5453311132598238,0.002148364190389863,,0,1,0,0,0,1
53,c.136,0.005286931297368672,0.00014628572685852344,0.9816932516026645,0.00030991814248512793,,0,1,0,0,0,1
54,f.102,0.12766262920464236,0.0,189.87384992907886,0.0051559240271837085,,0,0,1,0,0,1
55,c.237,0.18583342114432977,0.0,155.54142717531565,0.0012049006685828363,,1,0,0,0,0,1
56,c.89,0.015227418882699498,0.00020350410321082012,8.044173084098972,0.001084078402742579,,0,1,0,0,0,1
57,c.68,0.07569015460086034,0.0019453273904904826,82.83087773705007,0.000548873147028209,,0,1,0,0,0,1
58,c.57,0.06066651362030404,0.0,14.920312686485364,0.006017184386036359,0.016158658990579864,0,0,0,0,1,1
59,c.43,0.02646224685636548,0.0002576197557360577,2.506297877364487,0.0003642583028645645,,0,1,0,0,0,1
60,c.40,0.030583281413889666,0.0002182576992437412,3.372689731378697,0.0001725039080492607,,0,1,0,0,0,1
61,b.17,0.024465604189432298,0.0,45.63899508566187,0.006524056899561978,,0,0,0,1,0,1
62,c.276,0.16276773591498708,0.0,125.80663863075993,0.0008623898423655324,,1,0,0,0,0,1
63,var9_Mono,0.16041289882078133,0.0,71.15840069288939,0.004569100095769152,,1,0,0,0,0,1
64,b.6,0.17259767790613983,0.0,115.86081037995153,0.0060927624020307115,,1,0,0,0,0,1
65,b.24,0.059944466233084755,0.0002795667895761948,14.596418139282573,0.001427687670161042,,0,1,0,0,0,1
66,var5,0.029137510007917998,0.0004540915221161854,5.091987102604405,0.005189995806938181,,0,1,0,0,0,1
67,c.65,0.05909679797107488,0.0,63.8333342212244,0.008347034243732928,,0,0,0,1,0,1
68,a.4,0.039626436263282216,0.000667347172815173,5.673677721386832,0.004935159691209654,,0,1,0,0,0,1
69,month_5,0.0041007369755071766,0.0,1.4274663426449656,0.0007195041908996609,,0,0,0,0,0,0
70,c.228,0.0011444007284331032,0.0,2.4187849463789513,7.99540843317176e-05,,0,0,0,0,0,0
71,c.207,0.025447548788615007,0.0,2.0016753558434273,0.00014441439813097365,,0,0,0,0,0,0
72,c.208,0.10364917788551045,0.0,37.30599426944096,0.0004685379472284513,,0,0,0,0,0,0
73,c.209,0.022553074102361733,0.0,1.9505468139247224,0.0,,0,0,0,0,0,0
74,c.210,0.00392028507506675,0.0,0.05888540109140461,0.0,,0,0,0,0,0,0
75,month_4,0.014776852519800914,0.0,4.683930504556358,0.0007011353555918629,,0,0,0,0,0,0
76,month_7,0.012508030430549323,0.0,2.7279830264026668,0.0005697629305380251,,0,0,0,0,0,0
77,c.211,0.003920285075066765,0.0,0.05888540109140461,0.0,,0,0,0,0,0,0
78,c.227,0.009857220661095685,0.0,22.983595117531546,0.0003098843062427163,,0,0,0,0,0,0
79,c.212,0.00784163701533623,0.0,0.23562459999788254,0.0,,0,0,0,0,0,0
80,c.213,0.04204601793799138,0.0,40.41133278921435,7.834236044000003e-06,,0,0,0,0,0,0
81,c.214,0.08264565735950409,0.0,50.63417206279038,0.003401141035645409,,0,0,0,0,0,0
82,c.224,0.10179642014368882,0.0,38.595114193184415,0.0005919496277761637,,0,0,0,0,0,0
83,c.225,0.056831260828339177,0.0,105.05431759729363,0.0018132358061050799,,0,0,0,0,0,0
84,c.226,0.04295181769058818,0.0,39.51912225699753,0.0014770666890227713,,0,0,0,0,0,0
85,month_6,0.008252620006844756,0.0,1.0080232761851364,0.0005112719909931105,,0,0,0,0,0,0
86,c.205,0.05724496288152538,0.0,29.594587475416095,0.001976281627759422,,0,0,0,0,0,0
87,c.206,0.03259543081588217,0.0,3.406335239257714,0.00012912896870392963,,0,0,0,0,0,0
88,c.196,0.007660952334328455,0.0,3.862087216202207,8.8919513214501e-05,,0,0,0,0,0,0
89,var1,0.027893075540965262,0.0,17.099215059164237,0.0020672038792478257,,0,0,0,0,0,0
90,c.187,0.03238846799019492,0.0,4.5854636484250655,0.00225406687217658,,0,0,0,0,0,0
91,f.188,0.11317289584123923,0.0,46.2127747689715,0.0010898306762083538,,0,0,0,0,0,0
92,c.190,0.02550447389783864,2.1992005730357057e-06,4.820495080741376,0.004750057135003621,,0,0,0,0,0,0
93,var9_Multi,0.15567160151681236,0.0,67.16903973265086,0.0041250447365939105,,0,0,0,0,0,0
94,month_12,0.012828177833256378,0.0,2.5665507026073677,0.0009197060113233654,,0,0,0,0,0,0
95,month_11,0.01680566347912641,0.0,0.6522004446322379,0.0005951043290518575,,0,0,0,0,0,0
96,month_10,0.01681932362392797,0.0,2.8909072796066693,0.0006074086656923614,,0,0,0,0,0,0
97,c.197,0.034729293108424174,0.0,5.0190515395568,0.00027302877669062287,,0,0,0,0,0,0
98,month_8,0.004157593881734431,0.0,2.1673378882124137,0.0005245706600391786,,0,0,0,0,0,0
99,c.198,0.06610879550614128,0.0,23.75521951947112,0.00024263117519926004,,0,0,0,0,0,0
100,c.199,0.038544929452615374,0.0,26.82501333276359,1.9096707965996084e-05,,0,0,0,0,0,0
101,c.200,0.021528606232086772,0.0,3.629017384960209,7.965383235804529e-05,,0,0,0,0,0,0
102,c.201,0.012305850726920102,0.0,134.01261756684036,0.005651649835574347,,0,0,0,0,0,0
