,pov6
17165,1
7612,1
17995,1
1782,6
29,1
12202,1
4886,1
8837,1
4215,1
16903,1
17650,1
14667,1
6578,2
5529,1
3344,1
17458,1
10058,2
2629,2
4798,1
7091,1
1599,1
8953,1
7421,1
2365,1
14882,1
5160,1
7730,1
8618,1
12952,1
13374,1
5247,2
1366,1
9166,1
16595,1
8312,1
11422,1
4523,1
2358,1
6162,1
18313,2
7188,1
18058,2
11630,2
2532,4
15234,1
17173,1
17681,1
16493,1
7524,1
15838,1
15387,4
7300,1
9269,1
7193,1
17873,2
6888,1
10198,1
13925,2
14428,1
15981,1
6859,2
10889,1
6597,6
13040,1
10736,1
17036,2
3154,1
11342,1
14504,2
8041,1
3613,2
15291,1
16484,1
4483,1
4879,1
7963,1
13930,1
8338,1
568,1
8808,1
6252,1
10712,1
15636,1
12556,1
6954,1
9221,1
5515,1
13598,1
10880,1
17098,2
6933,2
2030,1
17297,2
4320,2
8200,1
17781,1
11091,2
14579,1
10675,1
10535,1
2147,2
3231,1
519,1
17194,4
16678,1
2611,1
4141,1
3347,1
8924,2
13095,1
2553,2
1469,1
16874,1
17324,1
1721,2
7806,1
13082,1
15491,1
1811,3
6275,1
16710,5
14524,1
11110,1
15856,1
12828,1
2238,1
14232,1
11116,1
10001,1
12203,1
14678,1
7585,1
15528,1
4451,1
3953,1
3350,1
796,2
13502,1
13768,1
16583,1
13732,2
11792,2
16210,1
10896,6
15822,1
5471,1
1485,2
13080,1
17757,1
6774,1
9582,1
441,1
17037,3
1854,1
3786,1
12102,2
5832,1
8500,1
10532,1
11431,2
8127,1
5409,2
13970,2
6225,1
12488,6
12734,1
15615,1
4647,1
12401,1
9914,2
15112,1
6460,1
18240,1
12659,1
6890,1
6767,2
9782,1
17990,1
5009,2
17368,1
2839,2
7833,1
2969,2
5685,1
17564,1
2046,1
7457,1
15474,2
12545,1
11488,1
3459,1
11409,1
4594,1
15177,1
5965,1
8762,1
4338,1
17180,1
6394,2
6180,2
1898,1
6471,1
6053,1
17391,1
12163,1
17708,1
5176,1
8163,1
15307,1
3645,1
11819,2
4878,1
5112,1
8361,2
9535,1
15658,1
14415,1
15363,1
15011,1
3334,1
10937,1
16131,2
17949,1
5338,1
2055,2
10232,6
13606,1
17729,1
7716,2
631,1
16313,1
1357,1
2028,4
8964,1
8612,1
5713,1
12458,6
15972,1
13846,1
1736,1
11366,1
16764,1
14073,1
2687,1
17823,1
4461,1
14268,1
17516,2
5678,2
4065,1
5323,1
10397,1
11651,1
7108,2
8603,1
17185,1
7848,1
6978,1
10308,1
5907,1
5060,1
18163,1
12773,1
3267,1
13586,1
15432,1
17126,2
9884,1
13605,1
11389,1
18234,1
11472,1
7634,1
6399,1
14153,1
11847,2
14283,1
13666,1
4685,1
12926,1
8113,1
741,1
4298,1
4476,3
16122,1
1164,1
6089,2
4003,1
7246,1
9263,1
6540,3
6897,1
6548,1
2180,1
7298,1
5150,1
11375,2
6686,1
5406,1
9520,1
14552,1
7726,2
3218,1
15086,2
14771,2
11746,1
14655,1
1307,1
9684,1
1700,2
6644,2
1844,2
6674,2
13574,1
12706,1
14025,1
990,1
7968,1
18149,1
10264,1
8537,1
16642,1
13501,1
5451,1
11090,1
14347,1
9475,2
12267,1
3135,1
13293,1
12060,1
5609,2
18232,1
9666,1
9709,2
2849,1
4692,1
14837,1
17260,2
11031,1
16602,1
8098,1
13267,1
5284,2
8035,2
8040,1
17719,3
2569,1
8752,1
15543,1
4434,1
1784,1
10456,1
900,1
11311,2
10031,1
4074,1
9970,2
2183,1
573,1
258,2
5282,1
823,2
13106,1
10617,1
12600,1
4502,1
15057,1
13058,1
10950,1
15214,1
112,1
1576,1
12390,1
144,1
4614,1
9120,2
7064,1
1843,2
3378,1
17795,1
13527,1
12188,1
4104,1
113,1
2220,1
4812,5
6454,1
13898,1
364,1
9312,1
10182,1
5318,3
9347,2
5497,2
7084,1
12728,1
15095,2
3560,2
3569,2
11685,1
489,1
5817,1
15211,1
784,2
12092,1
11973,1
9142,1
4250,1
9533,1
105,1
12741,1
10820,1
1129,1
2380,1
14593,1
315,1
16335,1
17025,1
8404,2
7239,1
1147,2
8352,2
13398,2
15306,1
1647,2
4008,1
4101,1
10800,1
7190,1
1850,1
1790,1
7052,2
2897,2
9503,1
6264,1
1109,1
7461,1
16699,1
991,1
14267,1
6704,2
14835,2
1899,1
3412,1
9986,1
2809,1
3189,5
2304,1
15183,1
9025,1
11809,1
8418,2
7248,1
2414,1
10867,1
17267,1
6262,1
8350,1
9829,2
6574,1
16127,1
18026,1
12442,1
375,1
11672,1
1425,1
9394,2
6317,1
13602,1
10507,1
15682,1
1146,2
16270,1
10598,1
11492,1
13042,2
8372,1
2717,1
10082,1
12137,6
11657,2
13659,2
8017,1
6718,1
5307,1
1332,2
9592,1
16364,2
11195,1
10479,1
15859,1
2640,3
5067,1
18167,1
18135,1
4882,1
3395,1
9556,1
17986,1
11497,6
682,1
17788,2
8636,1
13788,1
15950,1
3305,1
12476,1
14737,2
13283,1
7812,1
16781,1
7351,6
3909,6
15227,1
18253,1
1175,1
1454,2
15323,1
14849,1
12718,1
13420,1
2178,1
3504,2
12366,1
7982,1
16443,1
18181,1
12601,1
3076,1
4431,1
2175,2
4057,1
6298,2
5368,1
1402,1
13553,1
9493,1
10118,1
8028,1
14784,1
7866,1
7647,1
14390,2
15165,1
12579,1
16733,1
9305,1
18368,1
5688,1
10059,2
10102,1
1795,1
2278,2
2342,2
11278,1
4504,1
9983,1
4801,1
1075,1
3674,1
11388,1
13380,2
4741,1
8980,1
16321,1
9642,2
17017,1
2694,6
13684,1
14320,1
8908,1
8359,1
15410,1
13417,1
8091,1
14136,1
17202,1
10863,2
10087,2
8223,1
10135,1
10172,1
3191,2
3439,1
6025,1
12265,1
868,1
7187,2
8216,1
1345,6
17464,1
957,1
7430,1
6830,1
8559,1
4582,1
12909,1
16705,2
6462,1
14554,3
5556,1
3728,1
7562,1
14248,1
6375,1
7222,1
11344,1
13453,2
15656,1
15438,1
2468,2
4486,1
1660,6
6753,2
16407,1
17288,5
12953,2
13918,1
5727,1
2588,1
9270,1
2479,1
7055,1
1206,4
8821,1
13993,2
16598,1
4800,1
13196,1
10363,1
5669,3
121,1
12087,2
17299,1
10798,1
17167,1
6400,1
13077,1
8337,1
11984,1
1735,1
10380,1
16272,1
4644,1
8596,1
17382,1
2698,1
3353,1
1313,2
9468,1
15519,1
15483,1
12158,1
2006,1
16806,1
11011,2
15507,1
17850,1
948,1
12332,1
7542,1
7343,1
3041,1
383,1
2628,6
8055,1
11162,1
2361,4
3779,1
3341,1
3798,1
9170,1
15592,1
10207,1
2184,1
8816,1
18303,1
15064,1
3197,1
16914,6
1983,2
452,1
15633,1
17900,1
5830,1
16390,1
15035,2
16932,1
15705,1
17629,1
1066,1
1981,2
17041,2
16845,3
5191,2
4427,1
296,1
7733,1
8535,1
16109,1
7865,1
5912,1
10631,1
12521,1
13252,1
5588,2
2431,2
10816,1
14446,1
9581,1
16349,1
17662,5
6346,1
16010,6
2478,1
8641,1
16724,1
546,1
13335,2
4055,1
14348,1
6845,1
3848,1
8448,1
13001,1
16336,1
2974,1
5006,1
7177,1
5656,1
316,3
15412,1
7403,1
1414,2
15433,1
7120,1
13276,2
17285,1
14130,1
17388,1
4488,1
791,1
17678,1
2686,1
3593,1
4382,1
15300,1
17786,1
6953,1
12385,1
2035,1
11504,6
12917,1
6563,1
11545,1
10810,1
12101,1
17205,1
2786,1
2112,6
17099,1
9984,6
6671,2
10119,2
9206,1
3643,1
2259,1
17683,2
7442,2
8373,1
13524,1
16970,2
9900,2
18102,1
2659,2
9163,2
13982,1
10683,1
12018,1
3166,2
8423,1
9722,1
13422,1
2869,1
16448,2
5127,1
18360,1
8874,1
16739,1
14916,1
17319,2
14947,2
8800,1
17707,1
7415,1
5319,1
14082,1
6498,1
15783,1
15149,1
13720,1
43,1
7053,1
17706,1
15449,2
6882,2
12842,1
16399,1
13609,2
4301,1
13393,1
2655,1
4333,1
18169,1
17404,1
5601,1
1347,1
13746,1
3546,2
16200,1
11069,1
8181,2
13997,2
8054,1
4223,1
11481,2
7675,1
12407,1
1910,1
15910,1
8309,1
17363,1
3697,1
11534,2
11631,1
10862,1
2946,5
14810,2
13148,1
10663,1
14627,1
2014,1
7452,1
16732,1
15849,1
8192,1
11002,1
7637,1
2151,3
13244,1
1742,1
15240,3
14437,1
8012,1
5659,3
8867,1
5931,1
3023,2
8994,1
2086,1
15994,1
11899,1
8180,1
14858,2
6901,1
17855,1
14452,1
7665,1
4961,1
8145,1
12780,2
15297,1
11358,1
13517,1
5655,1
13069,1
1594,2
15539,2
12752,1
14086,1
5444,1
5346,1
6809,1
4246,1
17784,1
1878,1
13568,1
12576,1
12180,1
14475,1
6232,1
9966,2
719,1
11234,1
1540,2
5337,1
8591,1
6128,1
11169,1
897,1
14969,2
7965,1
10414,1
1424,2
9161,2
17728,1
421,2
16499,1
15236,1
14425,1
9599,1
3608,1
3941,2
9068,1
15243,1
7275,1
9918,2
4717,2
15606,1
9772,1
1987,1
10584,1
5939,1
103,6
2091,1
16494,1
739,2
17395,1
4763,1
401,1
15760,3
11710,2
9078,1
13996,2
13775,1
17858,1
2443,1
272,1
16309,1
14622,1
5855,1
9524,2
2970,5
15117,1
764,1
12032,1
9309,1
8439,1
15785,1
2454,1
11351,2
1159,2
17658,1
17061,1
18128,1
2802,1
4210,1
933,1
17600,1
16753,2
2078,2
17033,1
3147,1
1653,1
3795,1
690,1
11726,1
12939,1
13592,1
8536,1
16560,2
11318,1
12064,1
11133,1
9878,1
16376,1
3511,2
